transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,channel,timestamp,is_fraud
200000,799,Yes,1050,256369,Mobile,2025-08-12 02:10:24+00:00,False
200001,484,Yes,295,6581,Mobile,2025-08-25 01:14:31+00:00,False
200002,791,Yes,2083,4492,Mobile,2025-08-17 12:12:40+00:00,False
200003,664,Yes,2789,275413,POS,2025-08-07 06:23:54+00:00,False
200004,157,Yes,694,98098,POS,2025-08-20 21:55:54+00:00,False
200005,654,Yes,1624,14744,Mobile,2025-08-17 12:32:58+00:00,False
200006,288,Yes,2506,5896,ATM,2025-08-23 01:48:53+00:00,False
200007,135,No,2001,5276,Web,2025-08-02 07:31:35+00:00,False
200008,738,Yes,2276,16030,Web,2025-08-10 03:59:35+00:00,False
200009,639,Yes,1980,5294,Web,2025-08-24 00:20:12+00:00,False
200010,526,Yes,1398,69506,Mobile,2025-08-23 03:36:52+00:00,False
200011,234,Yes,2990,20428,Web,2025-08-14 07:00:26+00:00,False
200012,625,Yes,1957,125754,Web,2025-08-22 23:22:59+00:00,False
200013,137,No,688,6451,Web,2025-08-12 06:32:45+00:00,True
200014,584,No,1384,11780,Mobile,2025-08-12 11:08:57+00:00,False
200015,408,No,534,214584,Web,2025-08-06 21:54:51+00:00,True
200016,777,Yes,2515,44628,Web,2025-08-05 04:51:42+00:00,False
200017,381,Yes,2642,7166,Mobile,2025-08-20 06:50:29+00:00,False
200018,127,Yes,2086,6814,Mobile,2025-08-09 08:05:24+00:00,False
200019,451,Yes,462,14017,Web,2025-08-20 19:00:24+00:00,False
200020,612,Yes,259,10479,Mobile,2025-08-04 00:43:17+00:00,False
200021,435,Yes,1002,141766,Mobile,2025-08-04 12:37:16+00:00,True
200022,630,Yes,2184,176991,Web,2025-08-18 15:40:14+00:00,True
200023,194,Yes,1014,3768,ATM,2025-08-19 05:43:22+00:00,False
200024,682,Yes,2083,4904,ATM,2025-08-03 23:34:35+00:00,False
200025,641,Yes,389,12674,Web,2025-08-16 12:58:49+00:00,False
200026,507,No,923,134076,POS,2025-08-18 00:07:21+00:00,True
200027,212,Yes,2668,7307,Web,2025-08-02 17:09:39+00:00,False
200028,424,No,1135,5936,ATM,2025-08-17 15:07:56+00:00,False
200029,106,Yes,1174,9784,Mobile,2025-08-17 18:54:19+00:00,False
200030,309,Yes,2229,5062,ATM,2025-08-11 10:07:23+00:00,False
200031,242,Yes,2920,4677,Mobile,2025-08-22 12:04:51+00:00,False
200032,787,Yes,1669,5160,POS,2025-08-11 10:20:41+00:00,False
200033,514,Yes,880,4523,Mobile,2025-08-06 21:43:40+00:00,False
200034,217,No,1243,5316,ATM,2025-08-02 22:11:31+00:00,False
200035,689,Yes,492,6438,ATM,2025-08-16 11:34:01+00:00,False
200036,122,Yes,1669,12439,ATM,2025-08-03 02:09:23+00:00,False
200037,397,No,500,42096,Mobile,2025-08-03 20:20:13+00:00,False
200038,610,Yes,648,5347,Mobile,2025-08-04 19:57:44+00:00,False
200039,171,No,2880,190257,ATM,2025-08-01 06:53:21+00:00,False
200040,521,Yes,1846,6066,ATM,2025-08-18 16:29:31+00:00,False
200041,303,Yes,2687,180326,Mobile,2025-08-22 19:35:32+00:00,False
200042,324,Yes,711,4916,Mobile,2025-08-14 18:02:50+00:00,False
200043,115,Yes,1171,7296,Mobile,2025-08-13 17:49:47+00:00,False
200044,662,Yes,1094,290970,Mobile,2025-08-04 19:29:58+00:00,False
200045,111,No,2600,6807,ATM,2025-08-03 06:03:48+00:00,False
200046,365,Yes,459,162442,Mobile,2025-08-09 06:00:46+00:00,True
200047,313,Yes,749,3325,Web,2025-08-03 15:37:50+00:00,True
200048,166,Yes,2850,5498,Mobile,2025-08-04 13:51:34+00:00,False
200049,693,Yes,486,7056,Web,2025-08-25 17:38:44+00:00,False
200050,377,No,624,12421,Web,2025-08-13 19:29:20+00:00,False
200051,114,Yes,2773,136331,Web,2025-08-19 01:58:11+00:00,False
200052,174,Yes,2333,10160,Mobile,2025-08-10 17:52:50+00:00,False
200053,175,No,2622,4688,ATM,2025-08-06 20:03:37+00:00,False
200054,693,Yes,665,14948,ATM,2025-08-21 17:24:03+00:00,False
200055,354,Yes,598,7265,Mobile,2025-08-01 07:18:19+00:00,False
200056,232,Yes,2206,5637,Mobile,2025-08-09 14:30:05+00:00,False
200057,755,Yes,151,14898,Mobile,2025-08-03 15:31:07+00:00,False
200058,184,Yes,1645,5804,Mobile,2025-08-10 05:37:29+00:00,False
200059,782,No,1596,9134,Mobile,2025-08-17 22:30:51+00:00,False
200060,389,No,391,2865,Mobile,2025-08-15 18:21:30+00:00,False
200061,100,Yes,93,199623,Web,2025-08-17 05:17:53+00:00,False
200062,211,No,1177,8878,Web,2025-08-20 20:43:07+00:00,False
200063,609,Yes,1205,147306,Web,2025-08-11 19:55:08+00:00,True
200064,720,Yes,802,12726,Web,2025-08-12 07:14:15+00:00,False
200065,430,Yes,478,113523,Mobile,2025-08-14 02:28:54+00:00,False
200066,795,Yes,1184,16143,ATM,2025-08-20 10:34:52+00:00,False
200067,496,Yes,1340,8264,ATM,2025-08-13 08:35:08+00:00,False
200068,267,Yes,2662,3935,Web,2025-08-14 00:38:36+00:00,False
200069,140,Yes,2998,11163,Web,2025-08-21 12:30:49+00:00,False
200070,334,Yes,2378,9180,POS,2025-08-19 01:59:25+00:00,False
200071,742,Yes,662,11904,Mobile,2025-08-13 15:34:41+00:00,False
200072,267,Yes,1472,16214,POS,2025-08-07 21:36:20+00:00,False
