transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,channel,timestamp,is_fraud
TXN_000001,CUST_00861,Yes,711,108.88,POS,2023-06-22 22:43:23,0
TXN_000002,CUST_01295,No,181,3294.45,Web,2023-02-08 20:28:06,1
TXN_000003,CUST_01131,Yes,112,1229.89,Mobile,2024-03-03 05:50:10,1
TXN_000004,CUST_01096,Yes,441,353.67,Mobile,2024-01-16 10:13:48,0
TXN_000005,CUST_01639,Yes,963,222.56,Mobile,2023-12-13 17:53:58,0
TXN_000006,CUST_02170,Yes,1007,610.05,Web,2023-08-05 18:21:03,0
TXN_000007,CUST_00467,Yes,198,1292.53,Web,2023-06-09 05:17:49,1
TXN_000008,CUST_01239,Yes,1076,122.37,POS,2025-04-27 04:44:17,0
TXN_000009,CUST_00331,No,426,3642.9,POS,2023-05-16 01:18:52,1
TXN_000010,CUST_01483,Yes,576,890.11,Mobile,2025-07-06 07:09:23,0
TXN_000011,CUST_02136,No,596,45.0,Web,2024-10-17 10:23:08,0
TXN_000012,CUST_02920,Yes,1162,261.83,Web,2023-02-19 08:56:39,0
TXN_000013,CUST_00131,Yes,93,1031.88,Mobile,2023-02-16 06:55:15,1
TXN_000014,CUST_01686,Yes,345,951.67,Web,2023-05-26 13:12:42,1
TXN_000015,CUST_00770,Yes,1124,132.8,POS,2023-12-06 15:24:52,0
TXN_000016,CUST_02392,No,503,485.38,Mobile,2023-12-28 10:13:36,1
TXN_000017,CUST_01516,Yes,863,24.42,Web,2025-02-24 01:00:38,0
TXN_000018,CUST_02854,No,176,1452.96,POS,2025-07-24 04:53:06,1
TXN_000019,CUST_02434,No,188,822.03,ATM,2023-02-11 05:19:57,1
TXN_000020,CUST_01216,Yes,105,659.29,Web,2025-05-21 20:43:57,1
TXN_000021,CUST_00956,Yes,226,686.87,Mobile,2023-11-05 21:12:17,1
TXN_000022,CUST_02325,No,252,2445.7,Web,2025-04-26 12:53:27,1
TXN_000023,CUST_01185,Yes,686,203.05,Mobile,2024-10-13 16:49:57,0
TXN_000024,CUST_00460,Yes,496,92.79,Web,2023-12-09 10:37:19,0
TXN_000025,CUST_00022,Yes,841,170.23,Mobile,2024-11-28 19:43:37,0
TXN_000026,CUST_02301,No,356,2152.44,ATM,2025-07-04 09:25:01,1
TXN_000027,CUST_00748,No,136,5499.59,Mobile,2024-03-08 03:42:04,1
TXN_000028,CUST_02905,Yes,737,424.99,Web,2023-01-11 02:17:28,0
TXN_000029,CUST_00475,No,292,1183.29,Mobile,2023-09-06 00:31:50,1
TXN_000030,CUST_01083,Yes,105,29.79,Web,2024-10-18 12:12:24,0
TXN_000031,CUST_02559,No,121,2110.52,POS,2024-06-12 13:27:31,1
TXN_000032,CUST_02048,Yes,1530,231.8,Mobile,2024-03-07 15:47:40,0
TXN_000033,CUST_02748,Yes,255,911.94,Web,2023-08-30 12:41:45,1
TXN_000034,CUST_00976,Yes,1292,106.45,Web,2023-12-01 11:28:43,0
TXN_000035,CUST_01807,Yes,187,1608.48,Mobile,2024-06-06 21:09:15,1
TXN_000036,CUST_00190,No,212,245.82,Web,2023-06-08 18:40:31,1
TXN_000037,CUST_02735,Yes,153,1235.47,Mobile,2023-05-25 01:48:56,1
TXN_000038,CUST_00563,Yes,201,298.1,Web,2024-08-13 04:42:59,1
TXN_000039,CUST_01900,No,95,2839.06,Web,2023-05-31 05:50:52,1
TXN_000040,CUST_01268,Yes,94,1868.9,Mobile,2024-07-11 15:43:16,1
TXN_000041,CUST_02880,Yes,460,1714.86,POS,2024-06-18 07:35:55,1
TXN_000042,CUST_01529,Yes,766,85.74,POS,2025-07-26 20:32:16,0
TXN_000043,CUST_00647,No,32,2342.53,Web,2024-02-15 22:03:09,1
TXN_000044,CUST_02069,No,400,1519.49,Mobile,2023-03-09 11:56:59,1
TXN_000045,CUST_02889,No,0,455.3,Web,2024-12-14 16:36:03,1
TXN_000046,CUST_02215,Yes,793,210.62,Mobile,2025-04-13 00:01:56,0
TXN_000047,CUST_01298,Yes,104,2404.26,Mobile,2023-07-13 21:51:23,1
TXN_000048,CUST_02436,Yes,663,304.23,POS,2024-08-11 00:47:04,0
TXN_000049,CUST_00601,Yes,1187,231.84,POS,2023-05-03 09:53:03,0
TXN_000050,CUST_02364,Yes,103,603.66,Mobile,2025-05-07 13:33:59,0
TXN_000051,CUST_02062,Yes,347,1735.92,Mobile,2024-03-31 10:28:42,1
TXN_000052,CUST_00242,Yes,117,334.44,POS,2025-09-03 13:23:25,1
TXN_000053,CUST_02042,Yes,380,2457.75,POS,2025-08-18 20:05:15,1
TXN_000054,CUST_02825,Yes,198,91.28,Web,2024-07-15 18:43:51,0
TXN_000055,CUST_02613,Yes,74,262.65,Web,2025-06-15 21:14:53,0
TXN_000056,CUST_02946,No,61,1390.87,Mobile,2023-10-26 17:02:17,1
TXN_000057,CUST_01364,Yes,1102,392.19,Web,2023-04-19 01:12:14,0
TXN_000058,CUST_02140,Yes,678,366.43,Web,2023-03-13 04:27:24,0
TXN_000059,CUST_01391,Yes,1133,214.45,Web,2023-12-21 00:39:48,0
TXN_000060,CUST_01479,No,1292,34.29,Mobile,2024-03-25 13:09:54,0
TXN_000061,CUST_02557,Yes,1166,14.94,Web,2023-05-04 22:51:37,0
TXN_000062,CUST_00776,Yes,140,2802.67,Web,2023-12-28 15:04:23,1
TXN_000063,CUST_00035,Yes,938,29.18,Web,2023-06-06 21:36:22,0
TXN_000064,CUST_02254,No,2,4082.19,POS,2024-08-13 12:07:58,1
TXN_000065,CUST_01956,Yes,877,182.76,POS,2024-03-07 19:36:25,0
TXN_000066,CUST_01586,Yes,490,13.1,Mobile,2024-12-05 08:21:40,0
TXN_000067,CUST_01022,Yes,586,72.54,Mobile,2025-09-14 12:02:01,0
TXN_000068,CUST_02614,No,222,992.06,ATM,2024-07-20 17:55:46,1
TXN_000069,CUST_01130,Yes,714,300.43,Web,2023-09-10 16:11:03,0
TXN_000070,CUST_01501,No,27,2043.56,Web,2024-07-29 01:20:48,1
TXN_000071,CUST_00703,No,209,6551.15,Web,2024-07-05 21:27:06,1
TXN_000072,CUST_02450,Yes,1051,367.66,Web,2023-11-22 10:59:17,0
TXN_000073,CUST_02778,No,813,227.73,Mobile,2024-02-19 17:39:16,0
TXN_000074,CUST_01580,No,90,525.12,POS,2023-04-21 22:04:42,1
TXN_000075,CUST_00162,Yes,1066,39.56,Mobile,2025-08-04 06:02:59,0
TXN_000076,CUST_00202,No,313,737.68,Mobile,2025-09-13 09:42:23,1
TXN_000077,CUST_01982,Yes,160,2507.52,POS,2023-09-23 20:30:40,1
TXN_000078,CUST_00996,No,118,929.35,Web,2025-04-09 18:10:40,1
TXN_000079,CUST_02318,No,75,2937.18,Web,2024-01-16 07:12:46,1
TXN_000080,CUST_00816,No,38,11016.13,Mobile,2023-09-11 20:05:11,1
TXN_000081,CUST_00456,Yes,478,115.57,Mobile,2024-12-19 02:18:35,0
TXN_000082,CUST_01276,Yes,1099,294.1,Web,2024-08-12 11:07:27,0
TXN_000083,CUST_01017,Yes,1129,338.39,Mobile,2024-02-24 08:23:03,0
TXN_000084,CUST_02344,No,265,2419.29,Mobile,2025-05-15 04:35:29,1
TXN_000085,CUST_02768,Yes,78,1114.0,Mobile,2023-12-08 03:50:49,1
TXN_000086,CUST_00338,Yes,962,583.32,Mobile,2024-05-18 18:08:11,0
TXN_000087,CUST_00879,Yes,118,4639.53,Web,2023-03-28 21:31:04,1
TXN_000088,CUST_01077,No,181,2068.98,Web,2023-12-22 19:31:51,1
TXN_000089,CUST_00792,No,145,1444.92,Mobile,2023-02-19 20:47:01,1
TXN_000090,CUST_02265,No,117,815.15,Web,2024-05-05 00:56:31,1
TXN_000091,CUST_00764,No,93,1987.24,POS,2024-09-15 04:30:26,1
TXN_000092,CUST_02236,No,1342,200.95,Mobile,2024-02-20 22:06:12,0
TXN_000093,CUST_00380,No,555,44.55,Web,2023-04-13 19:41:24,0
TXN_000094,CUST_00493,No,85,545.92,Mobile,2023-11-24 18:00:37,1
TXN_000095,CUST_01181,Yes,1332,135.83,Mobile,2025-05-31 02:00:17,0
TXN_000096,CUST_02063,No,42,122.06,Web,2024-05-03 20:02:30,1
TXN_000097,CUST_00065,Yes,595,69.59,POS,2023-11-27 07:17:31,0
TXN_000098,CUST_02569,Yes,1193,36.86,POS,2025-02-14 12:41:25,0
TXN_000099,CUST_01368,Yes,164,802.94,Mobile,2024-09-06 14:13:34,1
